trial,trialtype,target,response
313,2,0.98,0.5905535634696875
314,3,0.98,0.8332292970822663
315,4,-0.98,0.6608590473433473
316,1,-0.98,-0.268490033719474
317,2,0.98,0.7483840600186801
318,3,0.98,0.7865578156012911
319,4,-0.98,0.46068861113552967
320,1,-0.98,-0.35526920433921766
321,2,0.98,0.5415476210788039
322,3,0.98,0.8309582933760822
323,4,-0.98,0.707107077562127
324,1,-0.98,-0.3203948791069002
325,2,0.98,0.6596371310827384
326,3,0.98,0.8153914677582413
327,4,-0.98,0.4922639170091609
328,1,-0.98,0.014776028642926294
329,2,0.98,0.41626890054146504
330,3,0.98,0.7493690374248017
331,4,-0.98,0.6606002881771375
332,1,-0.98,-0.3730438721326895
333,2,0.98,0.7678028241663424
334,3,0.98,0.723268268602096
335,4,-0.98,0.7224252918711054
336,1,-0.98,-0.5952351506413474
337,2,0.98,0.45796462591580633
338,3,0.98,0.8322706600316107
339,4,-0.98,0.6141644979531988
340,1,-0.98,-0.11547597902424353
341,2,0.98,0.489421936022072
342,3,0.98,0.5466383233195062
343,4,-0.98,0.6839743777900521
344,1,-0.98,-0.5002706290958515
345,2,0.98,0.14493098218459421
346,3,0.98,0.7501903692970951
347,4,-0.98,0.46560340336650335
348,1,-0.98,0.11108147927708646
349,2,0.98,0.6088463026301477
350,3,0.98,0.7059091386568727
351,4,-0.98,0.7105498467870592
352,1,-0.98,-0.3603376500508077
353,2,0.98,0.7307931012276934
354,3,0.98,0.6316807618451151
355,4,-0.98,0.4312674999590401
356,1,-0.98,-0.1700875565575273
357,2,0.98,0.7952788984187293
358,3,0.98,0.7165417044931587
359,4,-0.98,0.43300114428708364
360,1,-0.98,-0.3931850380529787
361,2,0.98,0.46053497780370317
362,3,0.98,0.7296967202773613
363,4,-0.98,0.6734331165685901
364,1,-0.98,-0.5712367171488552
365,2,0.98,0.6277245415021122
366,3,0.98,0.6593346960904629
367,4,-0.98,0.5415490961991584
368,1,-0.98,-0.5482480179432864
369,2,0.98,0.8445391235921593
370,3,0.98,0.5171810726038851
371,4,-0.98,0.5988947510037937
372,1,-0.98,0.03944202643881827
373,2,0.98,0.8400439625989606
374,3,0.98,0.667132338794551
375,4,-0.98,0.5385870575642825
376,1,-0.98,-0.09402612536731537
377,2,0.98,0.61825258622898
378,3,0.98,0.7062745980258047
379,4,-0.98,0.6277421151676693
380,1,-0.98,-0.5252847025432696
381,2,0.98,0.529671722508582
382,3,0.98,0.7028539870491871
383,4,-0.98,0.24167809069014912
384,1,-0.98,0.0916585996453067
385,2,0.98,0.6548611225610841
386,3,0.98,0.6274731430409916
387,4,-0.98,0.5471137145401057
388,1,-0.98,0.2987550350941442
389,2,0.98,0.8462247498517155
390,3,0.98,0.8211174614132051
391,4,-0.98,0.35895093632404057
392,1,-0.98,-0.5846095231301749
393,2,0.98,0.8253096262539368
394,3,0.98,0.7897232201346287
395,4,-0.98,0.4865162715623119
396,1,-0.98,-0.36311062038176556
397,2,0.98,0.8337942499795233
398,3,0.98,0.7874643337166474
399,4,-0.98,0.5015361759602749
400,1,-0.98,-0.5647082696968517
401,2,0.98,0.6010545416877744
402,3,0.98,0.6143295646983152
403,4,-0.98,0.5305369214947558
404,1,-0.98,-0.33370291252735973
405,2,0.98,0.8490683571379903
406,3,0.98,0.12208670845075455
407,4,-0.98,0.5143384077638073
408,1,-0.98,-0.43785092579731577
409,2,0.98,0.8815721257258342
410,3,0.98,0.6441679228480534
411,4,-0.98,0.2805459248359824
412,1,-0.98,-0.4881516047974497
413,2,0.98,0.7962840844355158
414,3,0.98,0.6408399127377943
415,4,-0.98,0.5312207417828297
416,1,-0.98,-0.34095049517913956
417,2,0.98,0.6426275932110348
418,3,0.98,0.45542342161015303
419,4,-0.98,0.7102875396133304
420,1,-0.98,-0.15719814747324148
421,2,0.98,0.6210091055332899
422,3,0.98,0.28124082225494823
423,4,-0.98,0.7330519154295365
424,1,-0.98,-0.46634009220733263
425,2,0.98,0.705233052145915
426,3,0.98,0.5234689201608549
427,4,-0.98,0.3161925837208346
428,1,-0.98,-0.5375163455363007
429,2,0.98,0.602641686333488
430,3,0.98,0.5676452989113955
431,4,-0.98,0.5510842825176817
432,1,-0.98,-0.3416811954735242
433,2,0.98,0.7774268168151022
434,3,0.98,0.19302717567842015
435,4,-0.98,0.7325402201055521
436,1,-0.98,-0.5033103276659548
437,2,0.98,0.7212805774804779
438,3,0.98,0.4456413304085872
439,4,-0.98,0.618509269162858
440,1,-0.98,-0.5278474363128812
441,2,0.98,0.7617280785415586
442,3,0.98,0.6848252799248975
443,4,-0.98,0.6385978979764488
444,1,-0.98,-0.12531590489947814
445,2,0.98,0.7541390982581206
446,3,0.98,0.5378163878479459
447,4,-0.98,0.6742660399624816
448,1,-0.98,-0.6136443709842581
449,2,0.98,0.5606108579809127
450,3,0.98,0.5337905524287355
451,4,-0.98,0.6796038157063408
452,1,-0.98,-0.4233682307661855
453,2,0.98,0.7843882951543786
454,3,0.98,0.20223054413887917
455,4,-0.98,0.6188956845820072
456,1,-0.98,-0.40879544049567756
457,2,0.98,0.2343502505550895
458,3,0.98,0.660128902717558
459,4,-0.98,0.585087791708992
460,1,-0.98,-0.3896662924144999
461,2,0.98,0.6906273666107228
462,3,0.98,0.4005811627693371
463,4,-0.98,0.800625293059647
464,1,-0.98,-0.34353908505742947
465,2,0.98,0.7488613756212854
466,3,0.98,0.45655112943625165
467,4,-0.98,0.5612956273313408
468,1,-0.98,-0.8065837354771668
469,2,0.98,0.8227654082334905
470,3,0.98,0.6032286844522274
471,4,-0.98,0.484917023432594
